en,ar,category
ace wrap,رباط بشكل الآس,Rehabilitation
acecarbromal,أسيكاربرومال,"Taxonomy, nosology and classification"
aceclofenac,أسيكلوفيناك,"Taxonomy, nosology and classification"
acellular matrix,مَطْرِس لاخلوي,Surgery
acemetacin,أسيميتاسين,"Taxonomy, nosology and classification"
acemorphan,أسيمورفين,"Taxonomy, nosology and classification"
acentrous,لا مركزى,Biology
acepifylline,أسيبيفيلين,"Taxonomy, nosology and classification"
aceruloplasminemia,فقد سيرولوبلاسمين الدم,"Taxonomy, nosology and classification"
acesulfame-K,أَسيسُلفام-ك,
acesulfamethoxypyridazine,أسيسلفاميثوكسيبايريدازين,"Taxonomy, nosology and classification"
acetabular angle,الزَّاويةُ الحُقِّيَّة,anatomy
acetabular artery of obturator,الشريان الحقّي للعضلة السادة,Anatomy
acetabular labrum,شَفَةُ الحُقِّ,anatomy
acetabular line,الخطُّ الحُقِّيُّ,anatomy
acetabular prosthesis,بدلة تعويضية للحُقّ,Rehabilitation
acetaldehyde,أَسِيتالدِهيد,Biochemistry and Chemistry
acetaminophen,أَسِيتامينُوفين,Biochemistry and Chemistry
acetaminophen poisoning,التسمُّمُ بالأَسِيتامينُوفين,toxicology
acetaminosalol,أسيتامينوسالول,"Taxonomy, nosology and classification"
acetanilide,أسيتانيليد,"Taxonomy, nosology and classification"
acetate,أَسيتات,Biochemistry and Chemistry
acetate carboxylate anion,أنيون أسيتات كربوكسيلات,
acetate kinase,كيناز الأَسيتات,Biochemistry and Chemistry
acetiamine,أسيتيأميد,"Taxonomy, nosology and classification"
acetic acid (HC2H3O2),حَمْضُ الأَسيتيك,Biochemistry and Chemistry
acetic fermentation,تَخمُّرٌ خَلِّي,Biochemistry and Chemistry
acetlylcholine,استيل كولين,Biology
acetogenic,مُوَلِد للكيتون,Surgery
acetohexamide,أسيتوهيكساميد,"Taxonomy, nosology and classification"
acetohydroxamic acid,حمضُ الأَسيتوهيدروكساميك,Biochemistry and Chemistry
acetol kinase,كيناز الأَسيتول,Biochemistry and Chemistry
acetomenaphthone,أسيتومينافثون,"Taxonomy, nosology and classification"
acetomorphine,أسيتومورفين,"Taxonomy, nosology and classification"
acetonaemia,أسيتونية الدم,Endocrinology & metabolism
acetonaemia,فَرْطُ أسيتُونِ الدَّم,"Taxonomy, nosology and classification"
acetone cleansing agent,عامل تنظيف بالأسيتون,Rehabilitation
acetone in urine test,الأَسيتون في اختِبار البَوْل,Nephrology
acetonide grouping,زمرةُ الأَسيتونيد,Biochemistry and Chemistry
acetonitrile,أسيتونيتريل,"Taxonomy, nosology and classification"
acetophenetidin,أسيتوفينيتيدين,"Taxonomy, nosology and classification"
acetophenone,أسيتوفينون,"Taxonomy, nosology and classification"
acetorphine,أسيتورفين,"Taxonomy, nosology and classification"
acetoxolone,أسيتوكسولون,"Taxonomy, nosology and classification"
acetylbenzene,أسيتيلبنزين,"Taxonomy, nosology and classification"
acetylcarnitine,أسيتيلكارنيتين,"Taxonomy, nosology and classification"
acetylcholine receptor (AChR) antibody test,اختبارُ أَضْداد مستقبِلات الأَسيتيل كولين,Hematology
acetylcholine receptors,مستقبلات الأستيل كولين,
acetylcholinesterase,أستيلكولينإستيراز,
acetylcholinesterase (AChE),إِسْتيراز الأسيتيل كولين,Biochemistry and Chemistry
acetylcoenzyme A,أَسيتيل تَميم الإنْزِيْم A,Biochemistry and Chemistry
acetylcysteine,أَسيتيل سِيسْتئين,Biochemistry and Chemistry
acetylcysteine,أسيتيلسيستيين,"Taxonomy, nosology and classification"
acetyldigitoxin,أسيتيلديجيتوكسين,"Taxonomy, nosology and classification"
acetyldigoxin,أسيتيلديجوكسين,"Taxonomy, nosology and classification"
acetyldihydrocodeine,أسيتيلدايهايدروكوديين,"Taxonomy, nosology and classification"
acetyldihydrocodeinone,أسيتيلدايهيدروكوديينون,"Taxonomy, nosology and classification"
acetylleucine,أسيتيل لوسين,"Taxonomy, nosology and classification"
acetylpheneturide,أسيتيلفينيتيورايد,"Taxonomy, nosology and classification"
acetylsalicylic acid,حمض أسيتيل ساليسيليك,
acetylsalicylic acid poisoning,التسمُّمُ بحَمْض الأَسيتيل ساليسيليك,toxicology
acetylsulfamethoxypyridazine,أسيتيلسلفاميثوكسيبايريدازين,"Taxonomy, nosology and classification"
achalasia,ضَخامة الـمريء,Diagnostics(symptoms&signs)
acheiropody,انْعِدامُ نِهاياتِ الأَطْراف,Genetics and genetic engineering
acheiropody,انْعِدامُ نِهاياتِ الأطْراف,"Taxonomy, nosology and classification"
achievement quotient (AQ),حاصِلُ التَّحصيل,Biostatistics
achilles tendon prosthesis,بدلة تعويضية للعرقوب,Rehabilitation
achiral,متَناظِرٌ مِرْآتِيَّاً,Biochemistry and Chemistry
achroma,زوالُ اللَّوْن,common entries
achromycin,أكرومايسين,"Taxonomy, nosology and classification"
achylia gastrica,فقد عصارة المعدة,Gastroenterology
achylia pancreatic,فقد عصارة البنكرياس,Gastroenterology
achylous,فاقدُ الكيلوس،  فاقدُ عُصَارَةِ المَعِدَة,Gastroenterology
aciclovir,أسيكلوفير,"Taxonomy, nosology and classification"
acid,حمض,Biochemistry and Chemistry
acid burn,حَرْقٌ حَمْضيٌّ,Pathology
acid dust,غُبارٌ حَمْضيٌّ,Environmental health
acid etching,التَّخْريشُ بالحَمْض,Dentistry
acid fast bacillus,عُصَيَّات صامدة للحمض,Surgery
acid flush,الدَّفقُ الحَمْضي,Biochemistry and Chemistry
acid mist,ضَبَابٌ حَمْضيٌّ,Biochemistry and Chemistry
acid mucopolysaccharide,عَديدُ السَّكاريد المُخاطِيّ الحَمْضيّ,Biochemistry and Chemistry
acid poisoning,التَّسَمُّمُ بالحَمْض,Toxicology
acid rebound,الاِرْتِدادُ الحَمْضي,Gastroenterology
acid reflex,ارتجاع الحمض,Gastroenterology
acid sphingomyelinase deficiency,نقص إنزيم حمض سفينغومييليناز,Genetics and genetic engineering
acid therapy,مُعالَجةٌ بالحَمْض,Dermatology
acidaemia,حمضية الدم,Endocrinology & metabolism
acidaemia,احمضاض الدم,"Taxonomy, nosology and classification"
acid-base,الحمض-القلوي,Common entries
acid-base management,تَدْبيرُ التَّوازُنِ الحَمْضِيِّ القاعِدِيِّ,"Nursing, midwifery and tocology"
acid-base management: metabolic acidosis,تَدْبيرُ التَّوازُنِ الحَمْضِيِّ القاعِدِيِّ: الحُماض الاِسْتقلابِي,"Nursing, midwifery and tocology"
acid-base management: metabolic alkalosis,تَدْبيرُ التَّوازُنِ الحَمْضِيِّ القاعِدِيِّ: القُلاء الاِسْتقلابِي,"Nursing, midwifery and tocology"
acid-base management: respiratory acidosis,تَدْبيرُ التَّوازُنِ الحَمْضِيِّ القاعِدِيِّ: الحُماض التنفُّسي,"Nursing, midwifery and tocology"
acid-base management: respiratory alkalosis,تَدْبيرُ التَّوازُنِ الحَمْضِيِّ القاعِدِيِّ: القُلاء التنفُّسي,"Nursing, midwifery and tocology"
acid-base monitoring,المُرَاقَبَةُ الحَمْضِيَّة القاعِدِيَّة,"Nursing, midwifery and tocology"
acidcatalysis,حفز حمضى,Biology
acid-fast bacillus,عصيات مقاومة للحمض,
acid-fast bacillus (AFB),عُصَيَّةٌ صامِدةٌ للحَمْض,histology
acidifiers,مُحَمِّضات,"Taxonomy, nosology and classification"
acidosis,حُمَاض,Endocrinology & metabolism
acidosis dialysis,حُماضُ الغسيل الكلويّ,Endocrinology & metabolism
acidulated phosphate fluoride,فسفات فلوريد حمضي,
acinetobacter,الرَّاكِدَة (أسينوباكتر),"Taxonomy, nosology and classification"
acinic cell adenocarcinoma,أدينوكارسينومة عُنَيْبِيَّة الخَلايا,Oncology
acipimox,أسيبيموكس,"Taxonomy, nosology and classification"
acitretin,أسيتريتين,"Taxonomy, nosology and classification"
ackee,آكيه,"Taxonomy, nosology and classification"
aclarubicin,أكلاريوبيسين,"Taxonomy, nosology and classification"
acne aggregata,عد تجمعي تكببي,Dermatology
acne atrophica,حَبُّ الشَّباب الضُمورِيٌّ,dermatology
acne bromide,عد البروميد,Dermatology
acne decalvante,عد مُقتحِف,Dermatology
acne fulminans,حَبُّ الشَّباب الخاطِف,dermatology
acne keloid,حَبُّ الشَّباب التَّنَدُّبيّ,dermatology
acne keloidalis nuchae,حبُّ شباب جدروي قفوي,Dermatology
acne medicamentosa,حَبُّ الشَّباب الدَوائِيٌّ,dermatology
acne pustulosa,حَبُّ الشَّباب البَثْريٌّ,dermatology
acne urticaria,حَبُّ الشَّباب الشَرَوِيٌّ,dermatology
acneform,شبيه بحَبِّ الشَّباب,dermatology
acneform drug eruption,طَفَحٌ دَوائِيٌّ شبيه بحَبِّ الشَّباب,dermatology
acneiform eruption,طفح عُدّاني,Dermatology
acordia,غياب الحبل السُرّيّ,"Taxonomy, nosology and classification"
acousma,هَلْوَسَةٌ سَمْعِيَّة,Psychiatry and Psychology
acoustic apparatus,جِهازُ السَّمْع,Otorhinolaryngology
acoustic cavitation,تَكهُّفٌ صوتِيٌّ,
acoustic meatus,الصِّماخُ السَّمْعِيّ,Anatomy
acoustica area,الباحة السمعية,Anatomy
acoustic-immittance audiometry,قِياسُ مسارِ السَّمْع,Otorhinolaryngology
acoustooptics,البَصَريَّاتُ السَّمْعِيَّة,Physiatrics and physical medicine
acquaintance network,شبكةً التعارف,Biostatistics
acquired,مُكتسب,Genetics and genetic engineering
acquired aplastic anemia,فقر دم مكتسب لا تَنَسُّجيّ,
acquired cystic kidney disease,داءُ الكُلْيَةٌ الكيسِيَّة المُكْتَسَب,Nephrology
acquired immunodeficiency syndrome,متلازمة نقص المناعة المكتسبة,
acquired mutation,طَفْرَة مُكْتَسَبة,Genetics and genetic engineering
acquired pellicle,الغشاءُ المُكْتَسَب,Cell biology
acquired sterility,عُقْمٌ مُكْتَسَب,Obstetrics and gynecology
acquired trait,صفةٌ مُكْتَسَبَة,
acral erythema,حُمامَى الأَطْرَاف,dermatology
acraniate monster,مسخ عديم القحف,Diagnostics(symptoms&signs)
acrid,لاذِع,Common entries
acridine orange stain,مُلَوِّنُ بُرْتُقالِيَّة الأَكْريدين,
acrinol,أكرينول,"Taxonomy, nosology and classification"
acrivastine,أَكْريفاستين,dermatology
acro-arthritis,رثية الأطراف,Infectious diseases
acroasphyxia,اختناق الأطراف,Dermatology
acrocephalopolydactyly,تَسَنُّمُ الرَّأسِ وكثرة الأَصابِعِ والتحامها,"Taxonomy, nosology and classification"
acrocephaly,رأسم مدبَّب,"Taxonomy, nosology and classification"
acrocoracoid,الغرابي القمي,Biology
acrodysostosis,خلل تعظم النهايات,"Taxonomy, nosology and classification"
acrokinesis,فَرْطُ حَرَكَة الأَطْراف,
acromegalic eunuchoidism,قُصورُ الغُدَدِ التَّناسُلِيَّة وضَخامةُ النِّهايات,
acromio-clavicular joint,المفصل الأخرمي الترقوي,Anatomy
acromion,الأخرم,"Taxonomy, nosology and classification"
"acromion, acromion process",الأَخْرَم؛ النَّاتِئُ الأَخْرَمِيُّ,anatomy
acromioplasty,رأب العظم الأخرمي,Surgery
acromphalus,بَجَر,Embryology & teratology
acroosteolysis,انْحِلاَلُ عِظامِ الأَطْراف,
acroparaesthesia,نَمَل الأطراف,Dermatology
acroparaesthesia,تَنَمُّلُ الأَطْرافِ المُؤْلِم,"Taxonomy, nosology and classification"
acroscleriasis,تصلب النهايات,"Taxonomy, nosology and classification"
acrosclerosis,تصلب النهايات,"Taxonomy, nosology and classification"
acrosomal reaction,تَفاعُلُ الجِسْم الطَّرَفِي للنُّطْفَة,
acrosyringium,قناة عرقية,"Taxonomy, nosology and classification"
acrylaldehyde,أكريلألدهيد,"Taxonomy, nosology and classification"
acrylate,أَكْريلات,Biochemistry and Chemistry
acrylic acid,حَمْضُ الأَكْريليك,Biochemistry and Chemistry
acrylic resin dental cement,مِلاَطٌ راتينِيٌّ أَكْريليكِيٌّ سِنِّيٌّ,Dentistry
